Listing,Model,Platform,Carrier,Color,Storage,ListDate,ExpiredDate,SaleDate,Views,Quantity,Price,Condition,Title,Description,Damage,Sold
LUIQ55819,Samsung Galaxy S10,Android,AT&T,White,128 GB,"Aug 12, 2020",,"Sep 10, 2020",112,1,389,Good,,"
Unlocked & tested to work on AT&T, Tmob. All our devices are professionally tested & inspected by our expert technicians. This listing does not include original box or accessories unless explicitly stated in the description.You will receive exactly what is shown in the listing photos.Our goal is 100% customer satisfaction & we love your positive feedback! Please contact us for any questions.Return Policy: If you discover any defect or functionality issues, you can return it & receive a full refund. We can work on replacement option if applicable. All returns where the issue is not found or if buyer no longer needs the item 20% restocking fees will be a charged.Shipping: We will ship within 24 hrs , Delivery in 2-5 business days. No International Shipping.IMPORTANT: WE WILL ONLY SHIP TO THE ADDRESS PROVIDED DURING CHECKOUT.
","
The screen will likely show moderate scratches. Expect minor amounts of wear in the form of scratches, minor dents and/or black markings on the housing and bezel.
",Yes
LUJN49190,Samsung Galaxy S20 Ultra 5G,Android,AT&T,Black,128 GB,"Sep 04, 2020",,"Sep 11, 2020",56,1,750,Good,,"
For Sale is really a mint condition Samsung Galaxy S20 Ultra 128 GB, Cosmic Black Unlocked. I have it listed as Good condition only because it is used.  Phone will ship in its original packaging and includes all accessories that came with the phone except headphones...Fast Charging wall adapter, USB-C cable, and Sim Ejection tool. Phone is crack and chip free and practically looks and works brand new. Phone was originally on AT&T, but is carrier unlocked and verified before this posting, but I can not guarantee your network will work. Feel free to ask any questions. Phone ships to Continental U.S. only via USPS w/ tracking. No returns.
","
Maybe some small micro scratches from use under the right lighting conditions
",Yes
LUJD52044,Samsung Galaxy S20 Ultra 5G,Android,AT&T,Black,128 GB,"Aug 25, 2020",,"Sep 08, 2020",45,1,925,New,,"
It is brand new. Seal is not broken. It has never been touched. Retails for $1399. It is paid off so it can be unlocked upon request (but I may have to open the box in order to do so). The warranty is good until August 2021.
",,Yes
LUJN86591,Samsung Galaxy Note 20 Ultra 5G,Android,AT&T,Mystic Black,128 GB,"Sep 03, 2020",,"Sep 06, 2020",49,1,950,New,,"
Samsung Note 20 Ultra 5G ***** description says 256gb but it’s a 128gb*******Unopened. Bought at retail cost minus promotions. Paid off. Not unlocked.
",,Yes
LUJH57708,Samsung Galaxy Note 20 Ultra 5G,Android,AT&T,Mystic White,128 GB,"Aug 28, 2020",,"Sep 02, 2020",101,1,1000,Mint,,"
Samsung Note 20 ultra 5G white 128GBScreen protector already on phoneSpeck grip case included and charger
",,Yes
LUAU50923,Apple iPhone Xr,iOS,Sprint,Black,64 GB,"Jan 21, 2020",,,440,1,444,Good,,"
The Apple iPhone XR (64GB) is a good iOS phone with 2.25Ghz Hexa-Core processor that allows run games and heavy applications.
With one SIM card slot, the Apple iPhone XR (64GB) allows download up to 1024 Mbps for internet browsing, but it also depends on the carrier.
Great connectivity of this device includes Bluetooth 5.0 + A2DP/LE, WiFi 802.11 a/b/g/n/ac (2.4Ghz, 5Ghz) + MIMO and NFC to make mobile payments or connection to other devices.
Including the battery, the Apple iPhone XR (64GB) phone has 194 grams and it's a very thin device, only 8.3mm.
Thank you for choosing Wcell. All of our devices have passed a 35-point inspection by our trained technicians using the latest software available. 
All purchases will include fast and free shipping as well as a new compatible charger.
WCell Hours of Operation:Monday - Friday 8 am - 5 pm CSTClosed Holidays and Weekends
",,
LUJJ71117,Apple iPhone Xr,iOS,Sprint,Black,64 GB,"Aug 31, 2020",,"Sep 12, 2020",54,1,398,Good,,"
Good condition iphone XR. no issues at all working 100%. Please see photos. Battery is at 92% capacity. 
Selling phone only no charger or cable. 
Will ship same day if ordered by 3 p.m. MST.
","
Some nicks on frame, please see photos.
",Yes
LUIU69279,Apple iPhone Xr,iOS,Sprint,White,64 GB,"Aug 16, 2020",,"Sep 11, 2020",61,1,525,Mint,,"
New Cond. Pearl White  64gb  Sprint Iphone XR A1984 CDMA/GSM DEAL!!!
Please note: At the time of this writing this unused Sprint Iphone XR  is about a month old and is new condition, .  It  comes with protective skin and tempered glass screen protector having been applied, new unused accessories, and IXpand 64gb backup charger base, and a  Pelican Voyager  protective case w holster  for  top of the line protection.   Ready to Rock on  Sprint  networks!! Under Apple  FACTORY WARRANTY until 7/10/21 !! 
Batt%100
M3                     7                                           5cIX
Thank you
And don't forget:I run the Fastest Ship in the West. Pay Today;Gone Tomorrow!
***Cancellations are subject to a forfeiture of Paypal fees.
",,Yes
LUJP24787,Apple iPhone Xr,iOS,Sprint,White,64 GB,"Sep 05, 2020",,"Sep 10, 2020",71,1,360,Good,,"
We have for sale a Sprint White iPhone XR White 64gb in good  condition as seen in the pics.
Battery health is at 90%.
This sale will include only the Phone and no other accessories.
Please note that this phone is locked on the Sprint network and cannot be guaranteed to work on anything else.
","
The phone is in good condition with some minor scratches on the screen that were taken under direct light as seen in the pictures.  They do affect the functionality of the phone in any way.
",Yes
LUIY04273,Apple iPhone Xs,iOS,Sprint,Gray,64 GB,"Aug 20, 2020",,"Sep 07, 2020",115,1,415,Good,,"
Unlocked used phone. Fully functional. No cracks, dents. Screen has no scratches. Near mint. Reset to factory setting. Clean ESN and ready for activation with Sprint. Includes wall charger, USB cable, SIM card, earphones and box. No SD card. I do not offer warranty. The phone is a Sprint device and might not work with another wireless companies and might not compatible with MVNO.  Check if the phone can be activated with them before purchasing. Cannot be unlocked by Sprint at this time. You have to use the phone with Sprint for 60 days as an owner in order to unlock the device by Sprint.
","
Near mint
",Yes
